"play_id","half","time_remaining_half","secs_remaining","secs_remaining_absolute","description","home_score","away_score","score_diff","win_prob","home","away","home_time_out_remaining","away_time_out_remaining","home_timeout_ind","away_timeout_ind","home_favored_by","game_id","date"
1,1,"20:00",2400,3000,"PLAY",0,0,0,0.872953414970328,"North Dakota State","Western Illinois",4,4,0,0,10.5,400917984,2017-02-18
2,1,"19:42",2382,2982,"Carlin Dupree made Jumper.",2,0,2,0.875950145353023,"North Dakota State","Western Illinois",4,4,0,0,10.5,400917984,2017-02-18
3,1,"19:02",2342,2942,"Garret Covington made Jumper.",2,2,0,0.856587877973556,"North Dakota State","Western Illinois",4,4,0,0,10.5,400917984,2017-02-18
4,1,"18:41",2321,2921,"Dexter Werner missed Jumper.",2,2,0,0.86304295091261,"North Dakota State","Western Illinois",4,4,0,0,10.5,400917984,2017-02-18
5,1,"18:41",2321,2921,"Brandon Gilbeck Block.",2,2,0,0.86304295091261,"North Dakota State","Western Illinois",4,4,0,0,10.5,400917984,2017-02-18
6,1,"18:40",2320,2920,"Brandon Gilbeck Defensive Rebound.",2,2,0,0.86304295091261,"North Dakota State","Western Illinois",4,4,0,0,10.5,400917984,2017-02-18
7,1,"18:17",2297,2897,"C.J. Duff missed Three Point Jumper.",2,2,0,0.861041623484194,"North Dakota State","Western Illinois",4,4,0,0,10.5,400917984,2017-02-18
8,1,"18:17",2297,2897,"Brandon Gilbeck Offensive Rebound.",2,2,0,0.861041623484194,"North Dakota State","Western Illinois",4,4,0,0,10.5,400917984,2017-02-18
9,1,"18:14",2294,2894,"Brandon Gilbeck made Jumper.",2,4,-2,0.836029291728869,"North Dakota State","Western Illinois",4,4,0,0,10.5,400917984,2017-02-18
10,1,"17:52",2272,2872,"Foul on Mike Miklusak.",2,4,-2,0.832502969144033,"North Dakota State","Western Illinois",4,4,0,0,10.5,400917984,2017-02-18
11,1,"17:52",2272,2872,"A.J. Jacobson made Free Throw.",3,4,-1,0.846440501162374,"North Dakota State","Western Illinois",4,4,0,0,10.5,400917984,2017-02-18
12,1,"17:52",2272,2872,"A.J. Jacobson made Free Throw.",4,4,0,0.859414131103474,"North Dakota State","Western Illinois",4,4,0,0,10.5,400917984,2017-02-18
13,1,"17:26",2246,2846,"Mike Miklusak missed Jumper.",4,4,0,0.846334630689223,"North Dakota State","Western Illinois",4,4,0,0,10.5,400917984,2017-02-18
14,1,"17:26",2246,2846,"A.J. Jacobson Defensive Rebound.",4,4,0,0.846334630689223,"North Dakota State","Western Illinois",4,4,0,0,10.5,400917984,2017-02-18
15,1,"17:14",2234,2834,"A.J. Jacobson missed Layup.",4,4,0,0.856639378297322,"North Dakota State","Western Illinois",4,4,0,0,10.5,400917984,2017-02-18
16,1,"17:14",2234,2834,"Mike Miklusak Defensive Rebound.",4,4,0,0.856639378297322,"North Dakota State","Western Illinois",4,4,0,0,10.5,400917984,2017-02-18
17,1,"17:10",2230,2830,"Mike Miklusak made Jumper.",4,6,-2,0.826896751192042,"North Dakota State","Western Illinois",4,4,0,0,10.5,400917984,2017-02-18
18,1,"16:55",2215,2815,"Paul Miller Turnover.",4,6,-2,0.816118034891417,"North Dakota State","Western Illinois",4,4,0,0,10.5,400917984,2017-02-18
19,1,"16:53",2213,2813,"Jeremiah Usiosefe Steal.",4,6,-2,0.816118034891417,"North Dakota State","Western Illinois",4,4,0,0,10.5,400917984,2017-02-18
20,1,"16:46",2206,2806,"Garret Covington made Three Point Jumper. Assisted by Mike Miklusak.",4,9,-5,0.768557183338615,"North Dakota State","Western Illinois",4,4,0,0,10.5,400917984,2017-02-18
21,1,"16:18",2178,2778,"A.J. Jacobson made Layup.",6,9,-3,0.803824497125205,"North Dakota State","Western Illinois",4,4,0,0,10.5,400917984,2017-02-18
22,1,"16:02",2162,2762,"Foul on Carlin Dupree.",6,9,-3,0.802294213822447,"North Dakota State","Western Illinois",4,4,0,0,10.5,400917984,2017-02-18
23,1,"16:02",2162,2762,"Brandon Gilbeck made Free Throw.",6,10,-4,0.784167861110861,"North Dakota State","Western Illinois",4,4,0,0,10.5,400917984,2017-02-18
