"play_id","half","time_remaining_half","secs_remaining","secs_remaining_absolute","description","home_score","away_score","score_diff","win_prob","home","away","home_time_out_remaining","away_time_out_remaining","home_timeout_ind","away_timeout_ind","home_favored_by","game_id","date"
1,1,"20:00",2400,2400,"PLAY",0,0,0,0.5,"San Francisco","San Francisco State",4,4,0,0,NA,400922526,2016-12-06
2,1,"19:48",2388,2388,"Mladen Djordjevic Turnover.",0,0,0,0.511793930844357,"San Francisco","San Francisco State",4,4,0,0,NA,400922526,2016-12-06
3,1,"19:35",2375,2375,"Nick Calcaterra missed Jumper.",0,0,0,0.524279741327167,"San Francisco","San Francisco State",4,4,0,0,NA,400922526,2016-12-06
4,1,"19:35",2375,2375,"Mladen Djordjevic Defensive Rebound.",0,0,0,0.524279741327167,"San Francisco","San Francisco State",4,4,0,0,NA,400922526,2016-12-06
5,1,"19:23",2363,2363,"Ronnie Boyce missed Three Point Jumper.",0,0,0,0.50956003899291,"San Francisco","San Francisco State",4,4,0,0,NA,400922526,2016-12-06
6,1,"19:23",2363,2363,"Nick Calcaterra Defensive Rebound.",0,0,0,0.50956003899291,"San Francisco","San Francisco State",4,4,0,0,NA,400922526,2016-12-06
7,1,"19:15",2355,2355,"Derrick Brown missed Three Point Jumper.",0,0,0,0.529703192727122,"San Francisco","San Francisco State",4,4,0,0,NA,400922526,2016-12-06
8,1,"19:15",2355,2355,"Nate Renfro Defensive Rebound.",0,0,0,0.529703192727122,"San Francisco","San Francisco State",4,4,0,0,NA,400922526,2016-12-06
9,1,"19:02",2342,2342,"Chase Foster missed Three Point Jumper.",0,0,0,0.511940955014241,"San Francisco","San Francisco State",4,4,0,0,NA,400922526,2016-12-06
10,1,"19:02",2342,2342,"Chiefy Ugbaja Defensive Rebound.",0,0,0,0.511940955014241,"San Francisco","San Francisco State",4,4,0,0,NA,400922526,2016-12-06
11,1,"18:52",2332,2332,"Chiefy Ugbaja Turnover.",0,0,0,0.516919265248255,"San Francisco","San Francisco State",4,4,0,0,NA,400922526,2016-12-06
12,1,"18:49",2329,2329,"Mladen Djordjevic Steal.",0,0,0,0.531092628062381,"San Francisco","San Francisco State",4,4,0,0,NA,400922526,2016-12-06
13,1,"18:48",2328,2328,"Mladen Djordjevic made Layup. Assisted by Chase Foster.",2,0,2,0.584304921955032,"San Francisco","San Francisco State",4,4,0,0,NA,400922526,2016-12-06
14,1,"18:42",2322,2322,"Ronnie Boyce missed Three Point Jumper.",2,0,2,0.584304921955032,"San Francisco","San Francisco State",4,4,0,0,NA,400922526,2016-12-06
15,1,"18:42",2322,2322,"Ryne Williams Defensive Rebound.",2,0,2,0.584304921955032,"San Francisco","San Francisco State",4,4,0,0,NA,400922526,2016-12-06
